Ball,Condition,Ball_Speed_mph,Carry_yd,Total_yd,Spin_rpm
"Wilson Staff Model X",7 Iron Fast,124.89,182.03,190.97,6303
"Wilson Staff Model X",7 Iron Mid,112.81,158.4,167.64,6329
"Wilson Staff Model X",Driver Fast,170.42,291.56,327.03,2378
"Wilson Staff Model X",Driver Mid,150.53,260.1,292.27,2773
"Wilson Staff Model X",Wedge 35,42.68,35.06,41.38,5415
"Wilson Staff Model X",Wedge Full (Dry),83.28,101.06,105.31,10382
"Wilson Triad",7 Iron Fast,124.06,181.34,189.93,6268
"Wilson Triad",7 Iron Mid,112.18,156.51,166.09,6011
"Wilson Triad",Driver Fast,167.46,281.61,310.98,2260
"Wilson Triad",Driver Mid,148.11,254.75,287,2717
"Wilson Triad",Wedge 35,43.02,35.43,41.92,5408
"Wilson Triad",Wedge Full (Dry),83.38,101.31,105.59,10381
